X,Y,Z,OBJECTID,lsoa01cd,lsoa01nm,GlobalID
525036,190321,300,196,E01000196,Barnet 028A,{D3A53B19-4723-42A4-9850-E7E5AF65F418}
525613,190308,300,197,E01000197,Barnet 023A,{859BA462-EDC7-4FA5-B8CB-6BE0AA565EC0}
523770,190078,300,198,E01000198,Barnet 025A,{74B65007-38FB-4E2A-9F5B-1F20437787E0}
524228,190480,300,199,E01000199,Barnet 025B,{7BF54F35-4B3F-4618-8CFE-E9E6D7425B4D}
524513,190123,300,200,E01000200,Barnet 028B,{F06C8A33-C3EA-40D6-B18B-3D417DC158C5}
524455,189619,300,201,E01000201,Barnet 028C,{B17CA133-E5A4-4523-8D21-1A8C3DE882EF}
525040,189929,300,202,E01000202,Barnet 028D,{3E3766FF-0A70-4C79-B3D8-1EF83047BCC8}
525254,189711,300,203,E01000203,Barnet 028E,{A0092EE3-F3A0-4ACE-A621-FC9563AC4249}
524699,190774,300,204,E01000204,Barnet 025C,{E59E8063-45FB-4827-BD27-24B0020215B0}
525534,189137,300,205,E01000205,Barnet 035A,{28A6051F-B8AB-415A-9D44-C7EB508EC652}
526437,187879,300,206,E01000206,Barnet 033B,{299C562D-7A0C-4F93-A8D7-4666128176BA}
525924,188660,300,207,E01000207,Barnet 033C,{956A3F9E-4D93-4A3A-85EE-9480F7380E8E}
526859,189032,300,208,E01000208,Barnet 033D,{3D118210-FEB4-45E0-B2EE-FFE0CCEAC157}
525180,188757,300,209,E01000209,Barnet 035B,{6EDB1B23-7ED1-4890-BBFC-A77B3B343B45}
526109,189255,300,210,E01000210,Barnet 033E,{D77C7346-3AD9-4AEB-A105-B63C1E08F558}
524960,188915,300,211,E01000211,Barnet 035C,{85EA7E30-8C0D-4BAB-BE15-B4C925A2C77A}
525268,188137,300,212,E01000212,Barnet 035D,{1873DFF3-AC97-414D-83DA-E4C384F4F407}
526274,188446,300,213,E01000213,Barnet 033F,{EB642A9E-DC85-4364-8D09-C5CD62FC7120}
525527,187547,300,214,E01000214,Barnet 038E,{6FEC66CB-6A73-489D-9431-44506E68FC7B}
524197,188362,300,215,E01000215,Barnet 037B,{E501C5B2-9465-41E6-89AC-F266BE8B7A16}
524779,188211,300,216,E01000216,Barnet 035E,{741FA2A6-2A36-49B9-BCAB-6473DD5ECC36}
524607,188698,300,217,E01000217,Barnet 035F,{3B5EF109-7408-46C1-9B11-70EDA045662C}
524397,188070,300,218,E01000218,Barnet 037C,{1E84F352-FC00-4C4A-AED5-6C4EA642FF52}
523991,187852,300,219,E01000219,Barnet 037D,{90F116C2-D0D5-4885-B471-F8916D26FCCC}
524278,187773,300,220,E01000220,Barnet 037E,{833DD077-77D6-4941-888C-D560BC75C172}
523685,187502,300,221,E01000221,Barnet 039B,{6606CC93-C8DE-4AA9-BAE1-054CBF9C9AB5}
523964,187114,300,222,E01000222,Barnet 040C,{9600BCC0-4C61-4D72-B573-77EACE8AD8B0}
523514,186874,300,223,E01000223,Barnet 039C,{BE94B7FA-D0DB-4B5F-84AB-044E4AB600FA}
523960,186734,300,224,E01000224,Barnet 040D,{CE376E06-DB8D-4281-9159-C1D2F27FD01D}
524418,188972,300,225,E01000225,Barnet 037F,{4407A89A-75C2-490A-8A4D-7C39C72B6ED6}
520195,191602,300,226,E01000226,Barnet 018D,{DB9F9CA3-EDBF-4DDE-93D1-F91D3D0368EB}
520112,192064,300,227,E01000227,Barnet 018E,{14567DA6-CBEF-4C1F-B35D-DFDAF19C7381}
521280,193454,300,228,E01000228,Barnet 007A,{685331F7-E219-411E-BB7C-D231DAED7E68}
520178,193214,300,229,E01000229,Barnet 013B,{A2B1CAD1-A026-414F-A569-2F22D5A7287D}
519953,193013,300,230,E01000230,Barnet 013C,{90329062-B7EC-49A9-9B77-843BAA66E6FF}
520689,193148,300,231,E01000231,Barnet 013D,{8E69251A-282D-49EC-AEC7-12A2380932F8}
520479,192619,300,232,E01000232,Barnet 013E,{A2668735-612C-4044-9AA1-AF1F8330FA90}
520529,192072,300,233,E01000233,Barnet 013F,{3FA2A098-77AE-4694-84C8-8C132F52D865}
520887,192188,300,234,E01000234,Barnet 021D,{E49787C9-9FFA-47F7-A86D-DCA4F84961EA}
520959,191688,300,235,E01000235,Barnet 021E,{4F58204D-872B-4E3E-A24A-C9DE07CEC52A}
523873,188815,300,236,E01000236,Barnet 034A,{F2203E51-D052-4487-9CA5-392D435900A3}
523071,188887,300,237,E01000237,Barnet 032A,{F1C11999-4A92-41F9-A6B0-E8A140C71F9E}
523868,189253,300,238,E01000238,Barnet 034B,{845755CD-790D-43E8-A50D-962522053D7D}
522397,189533,300,239,E01000239,Barnet 031A,{E69BD9C6-8266-4B0F-B93F-2CC0B9DE9236}
522629,190275,300,240,E01000240,Barnet 031B,{985E8883-B655-4039-A6E3-0E32D4C66764}
523064,189931,300,241,E01000241,Barnet 031C,{958E4C84-1D5D-4BC3-A971-4746BE0481E5}
523635,189674,300,242,E01000242,Barnet 032B,{81265C06-9ABF-4FFA-948E-5D02BC594EEE}
523333,189432,300,243,E01000243,Barnet 032C,{B0A8D204-3297-46B2-92D4-A3ADE79A0626}
522890,189492,300,244,E01000244,Barnet 032D,{1F7C35A1-081F-4546-837E-B9C9F57F7889}
523373,189106,300,245,E01000245,Barnet 032E,{CEF560D2-7402-4271-A960-500CE98C68C0}
525507,196548,300,246,E01000246,Barnet 002B,{F5238D9C-594C-4DAD-A470-0723A023BBBD}
525995,196626,300,247,E01000247,Barnet 002C,{D9B7ADDB-FADF-454B-A0C3-C99B6E361E7D}
524146,196666,300,248,E01000248,Barnet 001A,{AA5E8B84-5F08-4C08-BB88-33DF975208A9}
523719,196784,300,249,E01000249,Barnet 001B,{3E8C91C8-5F1A-465B-B8AC-EF214422C389}
524831,196669,300,250,E01000250,Barnet 001C,{EFA24EFE-FB84-44EA-98E0-1245B8F975AB}
